GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
,ec.edu.uteq.sgroas.abd.dto,AbdDtos.AbdRouteRequest,0,12,0,0,0,1,0,1,0,1
,ec.edu.uteq.sgroas.abd.dto,AbdDtos.AlertResponse,0,21,0,0,0,1,0,1,0,1
,ec.edu.uteq.sgroas.abd.dto,AbdDtos.CatalogsResponse,0,15,0,0,0,1,0,1,0,1
,ec.edu.uteq.sgroas.abd.dto,AbdDtos.UnitResponse,0,24,0,0,0,1,0,1,0,1
,ec.edu.uteq.sgroas.abd.dto,AbdDtos.UnitRequest,0,21,0,0,0,1,0,1,0,1
,ec.edu.uteq.sgroas.abd.dto,AbdDtos.ProvinceResponse,0,9,0,0,0,1,0,1,0,1
,ec.edu.uteq.sgroas.abd.dto,AbdDtos.TopRouteResponse,0,12,0,0,0,1,0,1,0,1
,ec.edu.uteq.sgroas.abd.dto,AbdDtos.AbdIncidentResponse,0,30,0,0,0,1,0,1,0,1
,ec.edu.uteq.sgroas.abd.dto,AbdDtos.SummaryResponse,0,27,0,0,0,1,0,1,0,1
,ec.edu.uteq.sgroas.abd.dto,AbdDtos.CountResponse,0,9,0,0,0,1,0,1,0,1
,ec.edu.uteq.sgroas.abd.dto,AbdDtos.ScheduleRequest,0,24,0,0,0,1,0,1,0,1
,ec.edu.uteq.sgroas.abd.dto,AbdDtos.CityResponse,0,15,0,0,0,1,0,1,0,1
,ec.edu.uteq.sgroas.abd.dto,AbdDtos.ScheduleResponse,0,36,0,0,0,1,0,1,0,1
,ec.edu.uteq.sgroas.abd.dto,AbdDtos.AbdRouteResponse,0,24,0,0,0,1,0,1,0,1
,ec.edu.uteq.sgroas.abd.dto,AbdDtos.TerminalResponse,0,15,0,0,0,1,0,1,0,1
,ec.edu.uteq.sgroas.abd.dto,AbdDtos.RoleResponse,0,12,0,0,0,1,0,1,0,1
,ec.edu.uteq.sgroas.abd.dto,AbdDtos.AbdIncidentRequest,0,21,0,0,0,1,0,1,0,1
,ec.edu.uteq.sgroas.dto,VerifyEmailRequest,0,9,0,0,0,1,0,1,0,1
,ec.edu.uteq.sgroas.dto,DriverRequest,0,30,0,0,0,1,0,1,0,1
,ec.edu.uteq.sgroas.dto,RouteRequest,0,24,0,0,0,1,0,1,0,1
,ec.edu.uteq.sgroas.dto,IncidentResponse,0,39,0,0,0,1,0,1,0,1
,ec.edu.uteq.sgroas.dto,DriverResponse,0,45,0,0,0,1,0,1,0,1
,ec.edu.uteq.sgroas.dto,LoginRequest,0,9,0,0,0,1,0,1,0,1
,ec.edu.uteq.sgroas.dto,RouteResponse,0,36,0,0,0,1,0,1,0,1
,ec.edu.uteq.sgroas.dto,RefreshTokenRequest,0,6,0,0,0,1,0,1,0,1
,ec.edu.uteq.sgroas.dto,RouteAssignmentRequest,0,24,0,0,0,1,0,1,0,1
,ec.edu.uteq.sgroas.dto,UserRequest,0,15,0,0,0,1,0,1,0,1
,ec.edu.uteq.sgroas.dto,ResetPasswordRequest,0,12,0,0,0,1,0,1,0,1
,ec.edu.uteq.sgroas.dto,ErrorResponse,0,21,0,0,0,1,0,1,0,1
,ec.edu.uteq.sgroas.dto,UserResponse,0,24,0,0,0,1,0,1,0,1
,ec.edu.uteq.sgroas.dto,EmailRequest,0,6,0,0,0,1,0,1,0,1
,ec.edu.uteq.sgroas.dto,VehicleRequest,0,30,0,0,0,1,0,1,0,1
,ec.edu.uteq.sgroas.dto,IncidentRequest,0,27,0,0,0,1,0,1,0,1
,ec.edu.uteq.sgroas.dto,RouteAssignmentResponse,0,45,0,0,0,1,0,1,0,1
,ec.edu.uteq.sgroas.dto,VehicleResponse,0,42,0,0,0,1,0,1,0,1
,ec.edu.uteq.sgroas.dto,SessionResponse,0,15,0,0,0,1,0,1,0,1
,ec.edu.uteq.sgroas.dto,AuthResponse,0,24,0,0,0,1,0,1,0,1
,ec.edu.uteq.sgroas.abd.controller,AbdDriverController,0,27,0,6,0,5,0,4,0,1
,ec.edu.uteq.sgroas.abd.controller,AbdRouteController,35,0,0,0,6,0,5,0,5,0
,ec.edu.uteq.sgroas.abd.controller,AbdReportController,35,0,0,0,7,0,7,0,7,0
,ec.edu.uteq.sgroas.abd.controller,AbdIncidentController,31,0,0,0,5,0,4,0,4,0
,ec.edu.uteq.sgroas.abd.controller,AbdScheduleController,33,0,0,0,5,0,4,0,4,0
,ec.edu.uteq.sgroas.abd.controller,AbdCatalogController,5,0,0,0,1,0,1,0,1,0
,ec.edu.uteq.sgroas.abd.controller,AbdAlertController,1,43,1,5,0,6,1,4,0,2
,ec.edu.uteq.sgroas.abd.controller,AbdUnitController,36,0,0,0,6,0,5,0,5,0
,ec.edu.uteq.sgroas.exception,UnverifiedEmailException,0,4,0,0,0,2,0,1,0,1
